Team,Season,id,firstName,lastName,sweaterNumber,positionCode,city,country,latitude,longitude
PIT,20242025,8476891,Matt,Grzelcyk,24,D,Charlestown,USA,42.3778749,-71.0619957
STL,20242025,8476892,Colton,Parayko,55,D,St. Albert,CAN,53.633239,-113.628845
STL,20242025,8476897,Oskar,Sundqvist,70,C,Boden,SWE,65.8275004,21.6964105
DAL,20242025,8476902,Esa,Lindell,23,D,Vantaa,FIN,60.2933337,25.0407809
SEA,20242025,8476905,Chandler,Stephenson,9,C,Saskatoon,CAN,52.131802,-106.660767
CAR,20242025,8476906,Shayne,Gostisbehere,4,D,Pembroke Pines,USA,26.0061943,-80.2872086
BOS,20242025,8476914,Joonas,Korpisalo,70,G,Pori,FIN,61.4866126,21.7972071
NYI,20242025,8476917,Adam,Pelech,3,D,Toronto,CAN,43.6534817,-79.3839347
NYR,20242025,8476918,Jimmy,Vesey,26,L,Boston,USA,42.3554334,-71.060511
CAR,20242025,8476921,Jordan,Martinook,48,L,Brandon,CAN,49.8511143,-99.9608924
CBJ,20242025,8476923,Damon,Severson,78,D,Melville,CAN,50.9307241,-102.807296
NSH,20242025,8476925,Colton,Sissons,10,C,North Vancouver,CAN,49.3206294,-123.0737925
VAN,20242025,8476927,Teddy,Blueger,53,C,Riga,LAT,56.9493977,24.1051846
TOR,20242025,8476931,Jake,McCabe,22,D,Eau Claire,USA,44.811349,-91.4984941
TOR,20242025,8476932,Anthony,Stolarz,41,G,Edison,USA,40.518157,-74.4113926
ANA,20242025,8476934,Brock,McGinn,26,L,Fergus,CAN,43.7059439,-80.3779366
WPG,20242025,8476945,Connor,Hellebuyck,37,G,Commerce,USA,34.003218,-118.1541961
CAR,20242025,8476958,Jaccob,Slavin,74,D,Denver,USA,39.7392364,-104.984862
CHI,20242025,8476960,Andreas,Athanasiou,89,C,Woodbridge,CAN,43.7848982,-79.5923855
EDM,20242025,8476967,Brett,Kulak,27,D,Edmonton,CAN,53.5462055,-113.491241
DET,20242025,8476979,Erik,Gustafsson,56,D,Nynashamn,SWE,58.9056457,17.9470987
MTL,20242025,8476981,Josh,Anderson,17,R,Burlington,CAN,43.3248924,-79.7966835
SJS,20242025,8476988,Matt,Benning,5,D,Edmonton,CAN,53.5462055,-113.491241
OTT,20242025,8476999,Linus,Ullmark,35,G,Lugnvik,SWE,62.9295771,17.9142347
EDM,20242025,8477015,Connor,Brown,28,R,Toronto,CAN,43.6534817,-79.3839347
VGK,20242025,8477018,Ben,Hutton,17,D,Brockville,CAN,44.5895925,-75.6843332
UTA,20242025,8477021,Alexander,Kerfoot,15,C,Vancouver,CAN,49.2608724,-123.113952
UTA,20242025,8477070,Liam,O'Brien,38,C,Halifax,CAN,44.648618,-63.5859487
NJD,20242025,8477073,Kurtis,MacDermid,23,L,Quebec City,CAN,46.8137431,-71.2084061
FLA,20242025,8477220,Nate,Schmidt,88,D,St. Cloud,USA,45.5616075,-94.1642004
LAK,20242025,8477335,Kyle,Burroughs,7,D,Vancouver,CAN,49.2608724,-123.113952
CGY,20242025,8477346,MacKenzie,Weegar,52,D,Ottawa,CAN,45.4208777,-75.6901106
DET,20242025,8477353,Tyler,Motte,14,C,St. Clair,USA,38.0592942,-93.7945456
BUF,20242025,8477365,Connor,Clifton,75,D,Matawan,USA,40.41483,-74.2295891
VAN,20242025,8477369,Carson,Soucy,7,D,Viking,CAN,53.0972884,-111.7771466
NYR,20242025,8477380,Jonny,Brodzinski,22,C,Ham Lake,USA,45.2502429,-93.2499508
STL,20242025,8477402,Pavel,Buchnevich,89,L,Cherepovets,RUS,59.1244222,37.9124677
TBL,20242025,8477404,Jake,Guentzel,59,C,Omaha,USA,41.2587459,-95.9383758
EDM,20242025,8477406,Mattias,Janmark,13,C,Danderyd,SWE,59.4043647,18.0358505
NYI,20242025,8477407,Anthony,Duclair,11,L,Pointe-Claire,CAN,45.4566767,-73.8067442
FLA,20242025,8477409,Carter,Verhaeghe,23,C,Toronto,CAN,43.6534817,-79.3839347
SEA,20242025,8477416,Oliver,Bjorkstrand,22,R,Herning,DEN,56.1379757,8.9746623
NSH,20242025,8477424,Juuse,Saros,74,G,Forssa,FIN,60.8155736,23.629833
COL,20242025,8477425,Miles,Wood,28,L,Buffalo,USA,42.8867166,-78.8783922
TBL,20242025,8477426,Nick,Paul,20,L,Mississauga,CAN,43.5896231,-79.6443879
DET,20242025,8477429,Andrew,Copp,18,C,Ann Arbor,USA,42.2813722,-83.7484616
PIT,20242025,8477435,Ryan,Graves,27,D,Yarmouth,CAN,43.8372648,-66.1157
SEA,20242025,8477444,Andre,Burakovsky,95,L,Klagenfurt,AUT,46.623943,14.3075976
NSH,20242025,8477446,Michael,McCarron,47,R,Grosse Pointe,USA,42.3861485,-82.9118591
VGK,20242025,8477447,Shea,Theodore,27,D,Aldergrove,CAN,53.5167841,-113.6412
CHI,20242025,8477450,Jason,Dickinson,16,C,Georgetown,CAN,46.1844077,-62.5315437
MIN,20242025,8477451,Ryan,Hartman,38,R,Hilton Head Island,USA,32.1618488,-80.7512616
DET,20242025,8477456,J.T.,Compher,37,L,Northbrook,USA,42.128704,-87.8265089
PIT,20242025,8477465,Tristan,Jarry,35,G,Surrey,CAN,49.1913033,-122.849143
CAR,20242025,8477478,William,Carrier,28,L,LaSalle,CAN,45.4325141,-73.6292667
CHI,20242025,8477479,Tyler,Bertuzzi,59,L,Sudbury,CAN,46.49272,-80.991211
WPG,20242025,8477480,Eric,Comrie,1,G,Edmonton,CAN,53.5462055,-113.491241
NJD,20242025,8477488,Brett,Pesce,22,D,Tarrytown,USA,41.0762077,-73.8587461
COL,20242025,8477492,Nathan,MacKinnon,29,C,Halifax,CAN,44.648618,-63.5859487
FLA,20242025,8477493,Aleksander,Barkov,16,C,Tampere,FIN,61.4980214,23.7603118
COL,20242025,8477494,Jonathan,Drouin,27,L,Ste-Agathe,CAN,46.110996,-74.2938383
CHI,20242025,8477495,Seth,Jones,4,D,Arlington,USA,32.7355816,-97.1071186
BOS,20242025,8477496,Elias,Lindholm,28,C,Boden,SWE,65.8275004,21.6964105
